key_type,d_low,k,recall_at_k,coarse_recall_at_k,lowdim_nn_coarse,mean_cand_size,window,build_s,train_loss_final
learned,8,1,0.2167,0.2167,0.6667,991,500,1.76,0.0263
learned,8,10,0.1913,0.1913,0.5197,991,500,1.76,0.0263
learned,8,100,0.1241,0.1241,0.313,991,500,1.76,0.0263
learned_nce,8,1,0.3867,0.3867,0.9367,989,500,1.74,
learned_nce,8,10,0.3533,0.3533,0.89,989,500,1.74,
learned_nce,8,100,0.2695,0.2695,0.7537,989,500,1.74,
pca,8,1,0.3667,0.3667,0.9267,989,500,1.74,
pca,8,10,0.3223,0.3223,0.8363,989,500,1.74,
pca,8,100,0.2442,0.2442,0.6847,989,500,1.74,
random,8,1,0.1833,0.1833,0.4833,995,500,1.73,
random,8,10,0.1507,0.1507,0.354,995,500,1.73,
random,8,100,0.1062,0.1062,0.2242,995,500,1.73,
learned,16,1,0.1633,0.1633,0.84,993,500,3.74,0.017
learned,16,10,0.156,0.156,0.7347,993,500,3.74,0.017
learned,16,100,0.108,0.108,0.4968,993,500,3.74,0.017
learned_nce,16,1,0.3333,0.3333,0.9733,990,500,3.88,
learned_nce,16,10,0.247,0.247,0.9623,990,500,3.88,
learned_nce,16,100,0.1759,0.1759,0.8638,990,500,3.88,
pca,16,1,0.3367,0.3367,0.98,993,500,3.48,
pca,16,10,0.319,0.319,0.955,993,500,3.48,
pca,16,100,0.2422,0.2422,0.8652,993,500,3.48,
random,16,1,0.18,0.18,0.7567,986,500,3.39,
random,16,10,0.1263,0.1263,0.5977,986,500,3.39,
random,16,100,0.0946,0.0946,0.3954,986,500,3.39,
