method,selectivity,k,recall_at_k,lat_p50_ms,lat_p95_ms,budget,subset_size
exact_prefilter,1.0,1,1.0,5.61,7.445,100,39700
exact_prefilter,1.0,10,1.0,5.61,7.445,100,39700
exact_prefilter,1.0,100,1.0,5.61,7.445,100,39700
hnsw_postfilter,1.0,1,1.0,0.486,0.623,100,39700
hnsw_postfilter,1.0,10,0.999,0.486,0.623,100,39700
hnsw_postfilter,1.0,100,0.9844,0.486,0.623,100,39700
sfc_filter,1.0,1,0.2,0.208,0.311,100,39700
sfc_filter,1.0,10,0.1627,0.208,0.311,100,39700
sfc_filter,1.0,100,0.095,0.208,0.311,100,39700
exact_prefilter,0.5,1,1.0,2.726,3.47,200,19850
exact_prefilter,0.5,10,1.0,2.726,3.47,200,19850
exact_prefilter,0.5,100,1.0,2.726,3.47,200,19850
hnsw_postfilter,0.5,1,1.0,0.92,1.47,200,19850
hnsw_postfilter,0.5,10,0.999,0.92,1.47,200,19850
hnsw_postfilter,0.5,100,0.9695,0.92,1.47,200,19850
sfc_filter,0.5,1,0.2833,0.206,0.225,200,19850
sfc_filter,0.5,10,0.1977,0.206,0.225,200,19850
sfc_filter,0.5,100,0.1176,0.206,0.225,200,19850
exact_prefilter,0.25,1,1.0,1.189,1.558,400,9925
exact_prefilter,0.25,10,1.0,1.189,1.558,400,9925
exact_prefilter,0.25,100,1.0,1.189,1.558,400,9925
hnsw_postfilter,0.25,1,1.0,1.588,1.994,400,9925
hnsw_postfilter,0.25,10,0.9997,1.588,1.994,400,9925
hnsw_postfilter,0.25,100,0.9692,1.588,1.994,400,9925
sfc_filter,0.25,1,0.2833,0.207,0.24,400,9925
sfc_filter,0.25,10,0.2277,0.207,0.24,400,9925
sfc_filter,0.25,100,0.1366,0.207,0.24,400,9925
exact_prefilter,0.1,1,1.0,0.317,0.549,1000,3970
exact_prefilter,0.1,10,1.0,0.317,0.549,1000,3970
exact_prefilter,0.1,100,1.0,0.317,0.549,1000,3970
hnsw_postfilter,0.1,1,1.0,3.934,4.768,1000,3970
hnsw_postfilter,0.1,10,1.0,3.934,4.768,1000,3970
hnsw_postfilter,0.1,100,0.9589,3.934,4.768,1000,3970
sfc_filter,0.1,1,0.3533,0.208,0.252,1000,3970
sfc_filter,0.1,10,0.271,0.208,0.252,1000,3970
sfc_filter,0.1,100,0.1512,0.208,0.252,1000,3970
exact_prefilter,0.05,1,1.0,0.145,0.177,2000,1985
exact_prefilter,0.05,10,1.0,0.145,0.177,2000,1985
exact_prefilter,0.05,100,1.0,0.145,0.177,2000,1985
hnsw_postfilter,0.05,1,1.0,8.811,10.332,2000,1985
hnsw_postfilter,0.05,10,1.0,8.811,10.332,2000,1985
hnsw_postfilter,0.05,100,0.9584,8.811,10.332,2000,1985
sfc_filter,0.05,1,0.4667,0.211,0.243,2000,1985
sfc_filter,0.05,10,0.328,0.211,0.243,2000,1985
sfc_filter,0.05,100,0.1815,0.211,0.243,2000,1985
exact_prefilter,0.01,1,1.0,0.05,0.054,10000,397
exact_prefilter,0.01,10,1.0,0.05,0.054,10000,397
exact_prefilter,0.01,100,1.0,0.05,0.054,10000,397
hnsw_postfilter,0.01,1,1.0,112.491,116.634,10000,397
hnsw_postfilter,0.01,10,1.0,112.491,116.634,10000,397
hnsw_postfilter,0.01,100,0.9712,112.491,116.634,10000,397
sfc_filter,0.01,1,0.6033,0.235,0.334,10000,397
sfc_filter,0.01,10,0.507,0.235,0.334,10000,397
sfc_filter,0.01,100,0.3374,0.235,0.334,10000,397
