objective,d_low,epoch,loss
triplet,8,0,0.09409978240728378
triplet,8,1,0.07083048059302531
triplet,8,2,0.06077649029102295
triplet,8,3,0.05333542019413535
triplet,8,4,0.047994586929773826
triplet,8,5,0.0438295342028141
triplet,8,6,0.040374157036755495
triplet,8,7,0.03764030548512556
triplet,8,8,0.035419149775129215
triplet,8,9,0.03324823378092924
triplet,8,10,0.03126248911877347
triplet,8,11,0.029964242118653978
triplet,8,12,0.028676126223460885
triplet,8,13,0.027436729876478765
triplet,8,14,0.026334219214737796
infonce,8,0,3.1051239906987056
infonce,8,1,2.6270700225347206
infonce,8,2,2.4987999087647546
infonce,8,3,2.4118747296212595
infonce,8,4,2.345382489735567
infonce,8,5,2.300254312497151
infonce,8,6,2.2663872709757165
infonce,8,7,2.2328074989439566
infonce,8,8,2.2056589088862455
infonce,8,9,2.1873303229295753
infonce,8,10,2.1690398869635183
infonce,8,11,2.1524813001668908
infonce,8,12,2.1395163702059397
infonce,8,13,2.1257507189919678
infonce,8,14,2.1143562507025804
triplet,16,0,0.07376601513783643
triplet,16,1,0.047845607991241344
triplet,16,2,0.04069735048113355
triplet,16,3,0.035921446397710756
triplet,16,4,0.032324824838121984
triplet,16,5,0.029379575424323415
triplet,16,6,0.02703123720018727
triplet,16,7,0.02513656041519657
triplet,16,8,0.02342388419446292
triplet,16,9,0.022171303202771837
triplet,16,10,0.02072691532433223
triplet,16,11,0.019699413044627304
triplet,16,12,0.018726109194859956
triplet,16,13,0.017993180656651404
triplet,16,14,0.017044859072252824
infonce,16,0,2.8171488687961914
infonce,16,1,2.0315479704096346
infonce,16,2,1.9198459492454045
infonce,16,3,1.8559763182567646
infonce,16,4,1.804883750933635
infonce,16,5,1.7666416756714447
infonce,16,6,1.7309331192245967
infonce,16,7,1.7023931571954414
infonce,16,8,1.6792051414900189
infonce,16,9,1.6592592132996908
infonce,16,10,1.6382389453392994
infonce,16,11,1.6278914239587663
infonce,16,12,1.6145074989976762
infonce,16,13,1.601474718579763
infonce,16,14,1.5920169711867465
