method,n_curves,total_budget,k,recall_at_k,coarse_recall_at_k,mean_cand_size,lat_p50_ms,lat_p95_ms,build_s
sfc_multicurve,1,1000,1,0.3867,0.3867,989,0.997,1.159,1.803
sfc_multicurve,1,1000,10,0.3533,0.3533,989,0.997,1.159,1.803
sfc_multicurve,1,1000,100,0.2695,0.2695,989,0.997,1.159,1.803
sfc_multicurve,1,10000,1,0.74,0.74,9413,10.561,12.916,1.803
sfc_multicurve,1,10000,10,0.6667,0.6667,9413,10.561,12.916,1.803
sfc_multicurve,1,10000,100,0.6052,0.6052,9413,10.561,12.916,1.803
sfc_multicurve,2,1000,1,0.3767,0.3767,700,0.872,1.318,3.614
sfc_multicurve,2,1000,10,0.3417,0.3417,700,0.872,1.318,3.614
sfc_multicurve,2,1000,100,0.2531,0.2531,700,0.872,1.318,3.614
sfc_multicurve,2,10000,1,0.6967,0.6967,6773,7.996,10.569,3.614
sfc_multicurve,2,10000,10,0.6323,0.6323,6773,7.996,10.569,3.614
sfc_multicurve,2,10000,100,0.5573,0.5573,6773,7.996,10.569,3.614
sfc_multicurve,4,1000,1,0.43,0.43,742,0.98,1.193,7.131
sfc_multicurve,4,1000,10,0.3903,0.3903,742,0.98,1.193,7.131
sfc_multicurve,4,1000,100,0.2829,0.2829,742,0.98,1.193,7.131
sfc_multicurve,4,10000,1,0.74,0.74,6767,7.653,9.759,7.131
sfc_multicurve,4,10000,10,0.7123,0.7123,6767,7.653,9.759,7.131
sfc_multicurve,4,10000,100,0.6142,0.6142,6767,7.653,9.759,7.131
sfc_multicurve,8,1000,1,0.5933,0.5933,714,1.242,1.757,14.403
sfc_multicurve,8,1000,10,0.4983,0.4983,714,1.242,1.757,14.403
sfc_multicurve,8,1000,100,0.3559,0.3559,714,1.242,1.757,14.403
sfc_multicurve,8,10000,1,0.8833,0.8833,6222,7.65,10.065,14.403
sfc_multicurve,8,10000,10,0.8303,0.8303,6222,7.65,10.065,14.403
sfc_multicurve,8,10000,100,0.7318,0.7318,6222,7.65,10.065,14.403
faiss_hnsw_ef64,,,1,1.0,,,0.365,0.477,31.257
faiss_hnsw_ef64,,,10,0.9987,,,0.365,0.477,31.257
faiss_hnsw_ef64,,,100,0.9614,,,0.365,0.477,31.257
